usuario,followers,friends,tweet,retweets
ThomilPro,504,220,2,0
CAFICOSTA,3068,4941,1,0
Vivirsinplastic,5189,706,1,0
VictorMBarcelo,662,851,2,0
IsraPastorSP,335,246,1,0
LJahierEU,2098,1416,1,0
aldeassosSV,1431,687,0,2
BerDiSal,270,92,1,1
JuanJo32859952,12,136,1,0
JulcaChristian,9,242,1,0
Vir_VIDAL_ACERO,262,615,4,0
MovCiudadanoChp,967,406,1,0
TelefonicaEC,4524,931,0,3
munimulchen,1886,654,1,0
mapagob,129523,974,2,3
crisalse7,58,97,1,0
SusanaGuitar,357,531,1,0
Alma_AvilaF,251,1239,1,0
IsraelLpezMarn1,154,490,5,0
ngarciacasarejo,512,758,1,0
chicholmf,961,3205,1,0
altanerias,7554,925,1,0
TaniaCrespo3,1816,3328,1,0
ValessioBrito,1180,1852,1,0
cantabriaes,36709,145,0,2
nizumay,302,304,1,0
GTorreblank,1119,3191,2,0
EMPscCornella,329,317,1,0
ValnciaSaludab1,19,53,0,1
amanzanoredondo,1112,2470,1,0
Estefania8411,79,407,1,0
Gaiainvest,167,396,1,0
gp2racing,424,1679,1,0
jdoviedoa,6519,285,1,0
gemaesteve,1013,1460,2,0
UNIDO,76579,1486,1,0
anasanben,77,117,0,1
jalmagro,2920,248,1,0
JuniorReport_,1385,348,0,2
GomezRamirezL,337,227,1,0
anitamarianunez,299,367,2,0
Innovart_cc,1283,678,0,1
choikepurun,654,506,1,0
GustavoMangisch,116,40,1,0
Saramurcia,3835,3754,1,0
HuichapanCecyte,672,136,1,0
history_topics,7252,1018,1,0
Margarita_bs,156,567,2,0
SimonPerera,4085,2614,0,1
XimeNowodworsky,144,310,2,0
StefaniaMarcone,201,160,2,0
SmartCity_Net,7468,883,3,1
Diegogarciavele,559,584,1,0
AaltoCons,246,449,2,0
CorreaGuri,72,58,1,0
emvsmadrid,3465,614,1,0
Tosgriju,2203,736,1,0
Ms_Mirena,176,515,1,0
UTECuy,4799,550,2,0
feproami,1801,2499,4,1
MundoLimpio10,11,57,3,0
IlianaCortez02,19,35,1,0
Santiag66557651,29,22,2,0
CCOOMAPFRE,1914,1905,1,0
alvizlo,5806,1413,1,1
MrMisingno,3374,1312,1,0
Daniels830424,41,174,1,0
ApBE_GM,683,643,1,0
sanandreslovers,181,236,0,3
1977geocas,37,185,1,0
Colegiomunabe,1909,1677,1,0
Yolavera50,42,61,1,0
EMPODERA_org,5340,1200,5,6
RoblesMedinaa,4,45,1,0
PetraSchirnhof3,9,12,1,0
monicamoralesj,1682,288,1,0
Analotrenco,1052,537,1,0
llanofaidiello,1127,2828,1,0
JuanrqzQuiroz,13,75,1,0
CulturaUNEDSg,158,55,11,0
CDR_Portabertas,163,368,3,0
titosantoya,301,1154,1,0
bearguell,38,25,1,0
PRL_UC3M,282,610,3,0
AlleCelia,136,245,2,0
Mertrak,3041,501,0,2
municipia_cl,84,436,1,0
ClamVeracruz,318,898,7,0
vidagarciasalv1,260,2681,3,0
CieloConstanza,100,391,1,0
MMMariluu,704,3660,1,0
masmujeresforo,329,238,1,0
DazTeran,276,340,2,0
Lauramur,22,202,1,0
gastonpaviolo,1000,833,1,0
elie_luna,157,135,0,3
SonYritmo,255,695,4,0
stefanno1997,91,1586,1,0
antoniaabellans,226,209,1,0
LoreenaOV,173,279,1,0
agardebu,245,230,1,0
EducacionUCJC,980,499,1,0
Alberto_Guijarr,1260,1553,4,1
turronesverdu,53,83,0,1
Efice_uy,482,52,1,0
FelipeGlezSEO,1542,964,1,0
javierfdezi92,163,547,1,0
MariaLeoMl,327,863,2,0
hdojgomez,5032,118,2,0
UNDPbiofin,2516,1789,1,0
IsabelSimonV5,17,61,1,0
m_chilibroste,508,421,2,0
spuertopavon,247,382,2,1
zionspain,445,147,1,0
61chema,5077,1284,1,0
josepluisyar,274,1258,1,0
JosMHernndezV,530,724,1,0
guchachi,850,361,0,1
CientTi,10,71,1,0
danielbarril,607,1610,1,0
PNuevoHorizonte,11,76,0,2
PufEric,101,376,0,1
Ferfollos,871,1421,2,5
HerreroLuz,391,587,2,0
PeranPilar,10,64,2,0
OOdnamra,138,81,2,0
elenafercun,159,313,2,0
maiteramosg,2968,1441,1,0
CarlosMorenoFr,9476,997,1,0
Dawamoru,333,117,1,0
LeyessefC,942,992,1,0
sierraguadalupe,462,443,1,0
ProyectoCantera,748,1980,0,4
AlexArevalo15,700,2608,2,0
holincer,99,232,1,0
acetatostereo,72,241,1,0
fzamorapolo,450,236,0,2
AIAFcolombia,3903,726,1,0
educalidad115,556,3904,2,0
BquillaCmoVamos,7236,578,1,0
Arboledasevilla,462,287,1,0
juanpablollona,316,666,1,0
SenenaCorbalan,266,186,3,0
diegocobosch,1424,585,3,0
squadrana,477,1046,1,0
CarmenA33780200,39,86,2,0
juanfcalero,495,904,0,1
cesardiazguevar,1049,374,2,0
ambientologica_,443,914,1,0
doriansanchez_,214,2275,1,0
klemengambel,41,230,3,0
ECO_CIRCULAR,3118,772,1,0
aylinnmel,180,366,1,0
OctavioSalina16,66,536,0,1
ATORIVERO,3626,4917,2,0
Patxietxea,89,27,0,3
Xavier_Arbos,7317,3029,1,0
jorgesolana,1173,588,6,2
JAIMEJP_7,146,345,1,0
Mariadeportist4,197,545,1,0
ambiente2080,2,42,1,0
ivanisblanco,674,897,1,0
qrga88000,327,535,2,0
DelGobCantabria,864,138,4,0
daniiela55a,9,167,1,0
hmoralesbellido,46,65,1,0
C3ischool,223,358,1,0
EvaPiera_Madrid,2507,1823,4,4
JoaquinCaudeli,517,2825,0,1
mmugnolo,1446,766,1,0
diputadospan,70819,127,2,0
clio1968,4795,3426,1,0
isabelFPhv,341,352,1,0
1sab3,474,537,1,0
hispanoeducando,4139,4365,2,0
mer_silvia,68,373,1,0
emaria_rm,112,481,1,0
PabloPonce,4027,1030,2,0
ColombiaNoFrack,641,234,1,0
Andalucia_Ong,4589,139,1,0
ONGCanales,789,757,1,0
FranciscoMDLR,128,226,1,0
mimanro,974,528,1,0
VeroBenimarco,157,505,2,0
EmbEspMaputo,1466,304,0,1
ALMUGOGAR,283,226,2,0
bnmascerca,62310,57341,0,2
LuzSmith_UNE,16,43,1,0
MariaAr60139063,3,202,1,0
MaraolinaDD,173,599,3,0
koikiliramos,110,737,4,0
fesabid,9607,2545,2,0
BoxSynergyOk,21,370,0,1
daiesco,262,479,0,3
LuisZetaDuniau,892,3328,1,0
fraconalv,491,253,1,0
_hERiZO_,2382,1050,1,0
meidelea,622,908,1,0
rafacratos,55,61,2,0
AbogadoBurgos13,56,203,1,0
rex_pedro,725,1120,1,0
ANDIHonduras,5861,671,0,8
periodistia,2771,1506,1,0
IS2030_Chile,262,706,1,0
marthi_hidalgo,394,311,1,0
arnaumariajose,199,771,5,0
chofitamil,118,344,1,0
EcologistaE,100,755,0,1
MaryLima26,194,53,1,0
ValeFBernasconi,621,172,2,0
jrodriguezarana,1978,43,1,0
CarlaCarvajalTD,15,109,1,0
ADNMurcia,529,98,1,0
leoholguinmunoz,110,301,0,3
AlejandraVlez1,117,399,3,0
weartopen,91,695,4,2
cceoficialmx,39435,4343,1,3
jilmar_capelo,43,74,1,0
pelayoroc,35,95,4,0
eACNUR,173284,2286,1,0
Economia_3,3556,737,0,1
AngelCotayna,231,546,1,0
alfredvara,634,391,1,0
PinoManzano1,46,79,2,0
FIIAPP,8459,2403,1,3
Richardvalver18,46,88,2,0
MARIAJESUSMAR10,70,263,1,0
manenar,330,403,4,1
ANGED_es,4735,625,1,4
Adrianadelaz,129,43,1,0
Chapiescarlata,1202,1090,1,0
Le00metalero,218,1479,1,0
elisacm_18,37,129,0,1
Patriciamunozal,125,641,1,0
CarlotaMerchn,3379,797,0,1
Maxine81959643,1,18,1,0
valentincu,12,13,1,0
joaquincano10,242,704,1,0
soce_cgce,67,164,1,0
Arqdianys,533,461,1,0
danteacal,261,604,1,0
yosse_oyer,39,52,1,0
Eugeniobdi,1616,1358,1,0
Agora_Social,392,174,0,1
cequisard,67,142,0,1
AngeLeon8,1177,280,1,0
MarinaVolpe12,5695,1585,2,0
revistatdigital,2844,3431,3,0
UTPInvestiga,230,71,2,0
ElenaVizcay,411,643,2,0
papodemosgabias,365,777,1,0
17ISA17,70,71,1,0
Carlos_GPerujo,2507,2092,1,0
IAJuventud,19358,1685,1,0
CCOOLaRioja,1823,1689,2,0
SC_BarriosLuna,63,42,1,0
JMoya7,252,555,1,0
andigrafcomer,48,2,1,0
rojaschavarria,327,575,0,1
norma_sure,43,112,1,0
scoutCdSol108,2110,1579,3,1
leguizamonml,478,806,0,4
pacoramon,1515,4972,1,0
giulialotti3,194,436,1,0
rchavarri,1393,2279,0,2
ClubOroMesaAnd,84,83,1,0
CooperacionESP,26172,2380,6,1
LuisRuaACDC,205,260,0,1
ecu911Ibarra,9320,525,1,0
robroiz1211,169,203,3,0
ELISASNCHEZNAVA,197,535,1,0
LeSussa,564,2243,1,0
jonyulin,528,1082,1,0
luisangelgp69,106,80,1,0
LaChorreraVerde,2248,422,1,0
m_sanchezs,37,124,1,0
ffranrojas,4285,2146,2,0
davidgvtierrez,2900,838,5,6
SANFI_Institute,315,134,1,0
YolandaSainzSn1,71,227,1,0
YpsilomRSE,1320,501,6,4
santiagohiguera,1870,1713,1,0
ungatoa,64,217,1,0
verakaro16,93,1456,1,0
TSanchezdelaC,937,1238,1,0
bibliodonihue,1032,283,0,4
Valeria_Ratti,40,401,1,0
DuyguCelikUN,36,133,1,0
enisa,10230,3489,6,2
eugdel16,563,282,1,0
Claritapv2,97,227,1,0
AnitaVerdesoto,45,80,2,0
PradasCar_,36,80,1,0
pais_mario,114,169,1,0
griserochoa,222,729,0,1
CarmenGmAcebo,307,588,0,1
fradulo,66,81,1,0
GrupoCosentino,8710,441,1,0
lcBolados,1583,4237,1,0
AdeccoChile,2935,186,0,1
HelpArgentina,4742,1933,1,0
asocgaraje,1378,623,0,3
campamentoideas,50,147,4,2
Red_EQAp,1583,1443,1,0
darkzarra,265,253,1,0
Ampacalde_barca,520,810,1,0
ariza_ruiz,978,1261,1,0
diez_jacinto,84,156,1,0
JGuerreroN13,269,494,1,0
santiagocambero,1082,973,0,1
Quezada_Gabi,159,214,1,0
FMBBVA,3023,464,0,1
NeffastaTrejos,15,88,1,0
RdeAsociaciones,2207,2047,1,0
esclerosiseme,15774,3892,0,1
CorferiasBogota,104959,2220,0,1
Lista316,143,370,1,0
sergicabrelopez,58,309,1,0
MariaGraGri,1,6,1,0
utppanama,33559,964,2,0
mariasegurasan5,33,41,1,0
MariaCarras7,444,759,1,0
clauguebel,920,1698,1,0
KarenRuedaM,64,271,1,0
FruitsdePonent,1016,825,0,2
pmalnati,131,354,0,1
anton_rocky5,134,213,1,0
SilviaRms,52,306,1,0
VivianFrancos,3940,4912,1,0
pkaltzada,4754,771,1,0
dr_reuma,1675,335,1,0
msardam,418,653,1,0
ONUMX,125940,726,0,4
PSOEigualdad,10098,1142,2,0
Yadiraamingt,34,427,1,0
mastercoopera,4009,2434,1,0
aliadosXlaninez,278,353,1,0
IKI_Mexico,1388,503,1,0
Movilizateya,88,111,5,0
UmCarrasco,142,100,1,0
imartin2304,21,35,2,0
feijoo_costa,436,408,2,2
es_municipal,99,580,1,0
ALBERTOCHARDI,29,192,1,0
JMRuiz3,1922,3848,1,0
pacoalcubierre,301,85,1,0
elenatvieira,3007,5000,1,0
Freddy89336374,2,9,1,0
ecu911Riobamba,10255,493,1,0
oikit,678,636,1,2
msolcito73,539,924,1,0
Ecclesiates_007,1247,4548,1,0
CGCOIA,1740,248,1,0
Carlos_Meix,7,21,1,0
autonomialocal,293,1292,0,1
oscarfc777,295,636,1,0
soledadbaidez,1643,2141,2,0
jgarcia_FR,91,96,1,0
mariagemaquint1,859,738,4,2
NEsmoris,748,646,2,0
lucianamermet,1316,1395,0,2
GustaBeckerOk,200,1159,1,0
inmitacs,13181,13940,1,0
amendezb,2383,1199,1,0
enderbautista6,236,515,0,1
tertuliaglg,3398,2369,2,0
LuisManuelRoj,428,606,1,0
miguelopenarret,72,29,1,0
sonsolesgcasil1,75,52,1,0
ArturoMarques23,889,4851,0,1
PazQuerida,28225,29545,0,1
iambiente,59227,23623,5,0
savilsan,74,37,1,0
DPDAsensu,19,32,1,0
snietoparra,866,503,1,0
MejorasE,122,256,3,0
evasotoa,4227,4991,2,0
jmgarciaperez,9659,3537,2,1
miguelsoul10,821,1020,1,0
eliramirez82,1917,1262,1,0
soyorch,192,157,1,0
caminelecuento,171,740,1,0
rhervermora,714,1415,1,0
villalavallesum,8,65,1,0
NUEVOFUTURO,2592,1814,2,0
ICMA_ML,256,100,0,2
Mafuensanta,1917,2415,2,0
aureafuentes,877,2259,1,0
dcaraban,1128,504,1,0
felicezaccheo,641,561,1,0
JoseMLeceta,1694,96,1,0
Alber77Huelva,526,560,1,0
J_Alberto_Lopez,326,341,1,0
GrupoPenarroya,348,141,3,1
mariines33,36,62,1,0
UOCbiblioteca,2092,959,0,1
BailacAssumpta,534,414,1,0
AntoinetteMusi1,68,470,1,0
silviafdezb,233,622,1,0
ErikaTorregrosa,3438,852,0,1
ElTurquitoTuc,99,223,1,0
SirElectron,324,937,1,0
TotHerba,408,500,1,0
SilcollaElena,13,18,1,0
UrrVir,326,621,1,0
trancos28,204,416,1,0
INSST_MITRAMISS,16971,1029,0,2
BelenCardonaRub,725,539,2,2
Roberto19740286,9,36,8,0
Rogelio_Castill,223,305,1,0
zicozocialvol2,726,581,1,0
MariaAn99599443,29,97,0,1
Asmadera_,789,404,0,1
ekuischlaroche,5701,841,2,1
jesusdelaosa,3403,2868,28,1
irenegonser,909,1400,2,0
gbragatwit,1585,2054,0,1
menarini_es,8873,1033,1,1
UNESCOMexico,249865,974,0,2
cemu,1329,1171,1,0
yullyPauline,236,582,1,0
OmnicomPRIberia,2695,1537,1,0
rosa_moli,48,234,3,0
foretica,17011,1330,18,15
alsimoncini1,794,1044,1,0
CCEBA,11557,5499,1,1
LUIS_MERIDA,132,1343,1,0
RRIIglocales,769,682,10,0
arelibiciteka,11634,1270,2,0
sergmata1,2336,533,1,0
anitalara_s,235,359,1,2
jrubiomart,27183,27071,1,0
anasanchezgar93,88,290,1,0
richardnovoa22,102,140,1,0
GSK_ES,3620,457,0,1
RedCarolinaCol,6206,912,1,0
EmbajadaEspPeru,2983,281,3,0
Compromiso_Empr,6034,642,3,1
AguasdeLeon,533,120,0,2
planificable,563,371,0,1
CatedrasUnizar,1238,213,1,0
k_monteros,160,455,1,0
MjoseChaconAg,166,220,1,1
Ana_F_Laviada,85,154,1,0
tecno_CFIEVA,265,194,2,0
ElenaFlorez13,38,60,1,0
AdriRico5,68,123,1,0
tibijove,257,328,1,0
LegalGempAsesor,1595,2121,2,0
